   0;   0;   0;   0;   0;   0;   0;   0;   0
   1;   1;   1;   1;   1;   1;   1;   1;   1
   2;   2;   2;   2;   2;   2;   2;   2;   2
   4;   4;   4;   4;   4;   4;   4;   4;   4
   5;   5;   5;   5;   5;   5;   5;   5;   5
   7;   7;   7;   7;   7;   7;   7;   7;   7
   8;   8;   8;   8;   8;   8;   8;   8;   8
  10;  10;  10;  10;  10;  10;  10;  10;  10
  11;  11;  11;  11;  11;  11;  11;  11;  11
  13;  13;  13;  13;  13;  13;  13;  13;  13
  14;  14;  14;  14;  14;  14;  14;  14;  14
  16;  16;  16;  16;  16;  16;  16;  16;  16
  17;  17;  17;  17;  17;  17;  17;  17;  17
  19;  19;  19;  19;  19;  19;  19;  19;  19
  20;  20;  20;  20;  20;  20;  20;  20;  20
  22;  22;  22;  22;  22;  22;  22;  22;  22
  23;  23;  23;  23;  23;  23;  23;  23;  23
  25;  25;  25;  25;  25;  25;  25;  25;  25
  26;  26;  26;  26;  26;  26;  26;  26;  26
  28;  28;  28;  28;  28;  28;  28;  28;  28
  29;  29;  29;  29;  29;  29;  29;  29;  29
